Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C17, C18, C19, C2, C3, C4, C5, C6, C7, C8",0402,13,0.1uF,
"C12, C9",0402,2,1uF,
"C13, C14",0603,2,10uF,
"C15, C16",0402,2,36pF,
"D1, D2, D3, D4",0402,4,LED,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
"R1, R2",0402,2,5.1K,
"R10, R11, R12, R13, R5, R7",0402,6,1K,
"R3, R4",0402,2,27,
R6,0402,1,10.7K,
"R8, R9",0402,2,4.7K,
SW1,SW_PUSH_6mm,1,SW_Push,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,SOT-23,1,MCP1700x-330xxTT,
U3,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,W25Q128JVS,
U4,LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y,1,LIS3DH,
U5,DFN-8-1EP_3x2mm_P0.5mm_EP1.36x1.46mm,1,ST25DV04K-IER8C3,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,
